時間,設定温度3f0,運転モード3f0,風速3f0,設定温度3f1,運転モード3f1,風速3f1,設定温度3f2,運転モード3f2,風速3f2,設定温度3f3,運転モード3f3,風速3f3,設定温度3f4,運転モード3f4,風速3f4,設定温度3f5,運転モード3f5,風速3f5,設定温度3f6,運転モード3f6,風速3f6,設定温度3f7,運転モード3f7,風速3f7,設定温度3f8,運転モード3f8,風速3f8,設定温度3f9,運転モード3f9,風速3f9
15:00,22,2,3,22,2,3,22,2,3,22,2,3,23,3,1,23,3,1,23,3,1,23,3,1,23,3,1,22,2,1
15:01,22,2,3,22,2,3,22,2,3,22,2,3,23,3,1,23,3,1,23,3,1,23,3,1,23,3,1,22,2,1
15:02,22,2,3,22,2,3,22,2,3,22,2,3,23,3,1,23,3,1,23,3,1,23,3,1,23,3,1,22,2,1
15:03,22,2,3,22,2,3,22,2,3,22,2,3,23,3,1,23,3,1,23,3,1,23,3,1,23,3,1,22,2,1
15:04,22,2,3,22,2,3,22,2,3,22,2,3,23,3,1,23,3,1,23,3,1,23,3,1,23,3,1,22,2,1
15:05,22,2,3,22,2,3,22,2,3,22,2,3,23,3,1,23,3,1,23,3,1,23,3,1,23,3,1,22,2,1
15:06,22,2,3,22,2,3,22,2,3,22,2,3,23,3,1,23,3,1,23,3,1,23,3,1,23,3,1,22,2,1
15:07,22,2,3,22,2,3,22,2,3,22,2,3,23,3,1,23,3,1,23,3,1,23,3,1,23,3,1,22,2,1
15:08,22,2,3,22,2,3,22,2,3,22,2,3,23,3,1,23,3,1,23,3,1,23,3,1,23,3,1,22,2,1
15:09,22,2,3,22,2,3,22,2,3,22,2,3,23,3,1,23,3,1,23,3,1,23,3,1,23,3,1,22,2,1
15:10,22,2,3,22,2,3,22,2,3,22,2,3,23,3,1,23,3,1,23,3,1,23,3,1,23,3,1,22,2,1
15:11,21,2,3,21,2,3,21,2,3,21,2,3,21,3,1,21,3,1,21,3,1,21,3,1,21,3,1,21,2,1
15:12,21,2,3,21,2,3,21,2,3,21,2,3,21,3,1,21,3,1,21,3,1,21,3,1,21,3,1,21,2,1
15:13,21,2,3,21,2,3,21,2,3,21,2,3,23,3,1,23,3,1,23,3,1,23,3,1,23,3,1,21,2,1
15:14,21,2,3,21,2,3,21,2,3,21,2,3,23,3,1,23,3,1,23,3,1,23,3,1,23,3,1,21,2,1
15:15,21,2,3,21,2,3,21,2,3,21,2,3,23,3,1,23,3,1,23,3,1,23,3,1,23,3,1,21,2,1
15:16,21,2,3,21,2,3,21,2,3,21,2,3,23,3,1,23,3,1,23,3,1,23,3,1,23,3,1,21,2,1
15:17,21,2,3,21,2,3,21,2,3,21,2,3,23,3,1,23,3,1,23,3,1,23,3,1,23,3,1,21,2,1
15:18,21,2,3,21,2,3,21,2,3,21,2,3,23,3,1,23,3,1,23,3,1,23,3,1,23,3,1,21,2,1
15:19,21,2,3,21,2,3,21,2,3,21,2,3,23,3,1,23,3,1,23,3,1,23,3,1,23,3,1,21,2,1
15:20,21,2,3,21,2,3,21,2,3,21,2,3,23,3,1,23,3,1,23,3,1,23,3,1,23,3,1,21,2,1
15:21,21,2,3,21,2,3,21,2,3,21,2,3,23,3,1,23,3,1,23,3,1,23,3,1,23,3,1,21,2,1
15:22,21,2,3,21,2,3,21,2,3,21,2,3,23,3,1,23,3,1,23,3,1,23,3,1,23,3,1,21,2,1
15:23,21,2,3,21,2,3,21,2,3,21,2,3,23,3,1,23,3,1,23,3,1,23,3,1,23,3,1,21,2,1
15:24,21,2,3,21,2,3,21,2,3,21,2,3,23,3,1,23,3,1,23,3,1,23,3,1,23,3,1,21,2,1
15:25,21,2,3,21,2,3,21,2,3,21,2,3,23,3,1,23,3,1,23,3,1,23,3,1,23,3,1,21,2,1
15:26,21,2,3,21,2,3,21,2,3,21,2,3,23,3,1,23,3,1,23,3,1,23,3,1,23,3,1,21,2,1
15:27,21,2,3,21,2,3,21,2,3,21,2,3,23,3,1,23,3,1,23,3,1,23,3,1,23,3,1,21,2,1
15:28,21,2,3,21,2,3,21,2,3,21,2,3,23,3,1,23,3,1,23,3,1,23,3,1,23,3,1,21,2,1
15:29,21,2,3,21,2,3,21,2,3,21,2,3,23,3,1,23,3,1,23,3,1,23,3,1,23,3,1,21,2,1
15:30,21,2,3,21,2,3,21,2,3,21,2,3,23,3,1,23,3,1,23,3,1,23,3,1,23,3,1,21,2,1
